,content,author
0,!save,Ritvikisalive
1,"""Let me saddle you"" - Karthik",Ritvikisalive
2,*silence*   *Starts humming harry potter theme song* - Karthik and Ritvik,Ritvikisalive
3,"""Who"" - Karthik ""Ah uhhhhhhhhh Ahmed"" - Ritvik "" ""who asked"" - Karthik ""You legit just said who"" - Ritvik ""Oh right"" - Karthik",Ritvikisalive
4,"""I pressed the start button *Heavy britsh accent when saying button* - Ritvik",Ritvikisalive
5,“Ahhhhh my appendix” - Mathew,Ritvikisalive
6,"""You are going to chocolate"" - Ritvik ""I wouldnt mind that actually"" - Karthik",Ritvikisalive
7,"""Your speaking chocolate"" - Ritvik ""Yes i am speaking chocolate"" - Karthik",Ritvikisalive
8,"""Wow everyone just dies"" - Ritvik",Ritvikisalive
9,“Do you use the steering wheel?” - Carlos Sainz,MuffinHead
10,"""Oh look theres a Savana"" - Karthik ""Savana oo nah nah my heart is in Savana oo na na"" - Ritvik ""Oh No not this *join in the signing*"" - Karthik",Ritvikisalive
11,“Your sense of humour??” - Amee,braindead
12,“Guess what i found??” - Cass,braindead
13,"""I gotta rock on""- Ameera",NitroNith
14,“cLeOpAtRa” - Karthik,braindead
15,“I dont think it’s illegal?” - Ritvik,braindead
16,"""wait there were fiv- i found a toad"" - Karthik",Ritvikisalive
17,“Guys can i marry a cat rather than a dude?” - Ameera,braindead
18,“Thats not a village THAT IS A SHIP WRECK??!?!!” - Ritvik,braindead
19,“I found a village!!” - karthik,braindead
20,"""Make a bleh noise ur ded"" - Ritvik ""Yes"" - Karthik",Ritvikisalive
21,now thats 10 out of 10,NitroNith
22,"""yo what?, who is this""",NitroNith
23,"""i mean when am i gonna be bending over???"" 👀",braindead
24,"""you know you can just hold your boobs right?""",braindead
25,"""she's so extra, she asked me to bend over""",braindead
26,"""you can see her under boobage""",braindead
27,"""*Removes headphones* I'm sorry were you saying sth?"" - Karthik ""Yes"" - Bhrugu ""Ok *puts headphones back on in blissful ignorance*"" - Karthik",MuffinHead
28,"""inmute me"" - Nitanth",Ritvikisalive
29,"""I Apologies for my absences"" - Nitanth ""Shut up Nitanth""- Karthik",Ritvikisalive
30,"""that says square root not Squirtle""- Ameera",Ritvikisalive
31,"""EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEK"" - Nitanth",Ritvikisalive
32,"""Your blessed with with an octopus"" - Ameera ""Im a vegetarian"" - Karthik",Ritvikisalive
33,"""Whats the molar mass of peanut butter?"" -William ""Yes"" - Sunny",hekker
34,"""Did you do the Bio SAC?"" - Disha ""Did i eat the bio SAC???????????"" - Akhil",Ritvikisalive
35,“The guy from lord of the rings. The guy who says my beautiful” - Disha “don’t u mean my precious?” - Ritvik,Ritvikisalive
36,“Ahhh I don’t want to make a baby” - Nitanth,Ritvikisalive
37,"""Freedom of speech not free"" - Mr Nguyen",Ritvikisalive
38,"""bro Himalaya SAT on my coffee"" - Taejus",braindead
39,"""I know how to load it I just don't know how to use it"" - taejus",braindead
40,“Filled with catfish” - Ameera,Ritvikisalive
41,"""Hi Nitanth... Shut up Nitanth"" - Ameera",Ritvikisalive
42,“Why are you putting lipstick on right before you go to sleep” - Ritvik “I’m just trying it on” - Ameera,Ritvikisalive
43,“Eatabl- Edible” - Ahmed,Ritvikisalive
44,"""NONNONONONONONO!!!!"" - Ameera",Memebrane
45,"""Ahmed.. What's ur name?"" - Ameera",Memebrane
46,“Is it like free to pay?” - ahmed,braindead
