content,author
!save,ritvikisalive
!save,ritvikisalive
!save,ritvikisalive
,Boop Quoter
!servers,ritvikisalive
Never had sushi before in my wife -Mathew,Boop Quoter
!boop,ritvikisalive
Sheshy dipped on baka faster than shyams iq on himself - Taejus,Boop Quoter
!boop,ritvikisalive
“Why you so British?!?!” - Karthik,Boop Quoter
!boop,ritvikisalive
let me check,memebrane_
<@390100716909363201> did i fix the perms?,ritvikisalive
nom - Disini,Boop Quoter
!boop,ritvikisalive
@everyone Greatest tools service,Boop Quoter
!boop,boopbotmaker90000809
when everyons free,ritvikisalive
or we just call at 6,ritvikisalive
so i can probs talk around 3:30,memebrane_
nvm i gotta go for lunch,memebrane_
alright,memebrane_
uhhh 2:30?,ritvikisalive
<@709747337374990359> wanna hop on vc?,memebrane_
"GG <@709747337374990359>, you just advanced to level 7!",MEE6
No theres a hair in my fruit yogurt - Karthik,Boop Quoter
!boop,ritvikisalive
Successfully saved!,Boop Quoter
!save,memebrane_
!save,memebrane_
"GG <@390100716909363201>, you just advanced to level 6!",MEE6
!save,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
55.22 seconds left,Boop Quoter
!save,memebrane_
!save,memebrane_
!save,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
!save,memebrane_
!save,memebrane_
!savee,memebrane_
!save,memebrane_
22.37 seconds left,Boop Quoter
!save,memebrane_
“Kore” - Karthik,Boop Quoter
!boop,memebrane_
!save,memebrane_
EVERYTHING WORKS,memebrane_
RITVIK,memebrane_
Successfully saved!,Boop Quoter
3.89 seconds left,Boop Quoter
4.65 seconds left,Boop Quoter
!save,memebrane_
!save,memebrane_
!save,memebrane_
!save,memebrane_
!save,memebrane_
!save,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
“Wanna see my art?? Well its not really art” - Cassie,Boop Quoter
!boop,memebrane_
!save,memebrane_
Im taking you with me - Ameera,Boop Quoter
!boop,memebrane_
I'm A sEa HoRsE - Karthik,Boop Quoter
!boop,memebrane_
!quote,memebrane_
#save,memebrane_
!quote,memebrane_
nah,memebrane_
!save,memebrane_
!quote,memebrane_
U didn’t delete the call of the function did u,ritvikisalive
It was working a minute ago,ritvikisalive
but the quote one isnt,memebrane_
What’s the problem,ritvikisalive
the save functions working,memebrane_
but we got a problem,memebrane_
its quote,memebrane_
Successfully saved!,Boop Quoter
Is it quote or boop,ritvikisalive
!save,memebrane_
!quote,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
!quote,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
!quote,memebrane_
!save,memebrane_
!quote,memebrane_
!save,memebrane_
!quote,memebrane_
Successfully saved!,Boop Quoter
!save,memebrane_
!quote,memebrane_
!quote,memebrane_
!boop,memebrane_
!boop,memebrane_
Actual u can explain it on call,ritvikisalive
So does it rewrite the whole csv,ritvikisalive
ok,memebrane_
Ya I think that’s good,ritvikisalive
plus displays success,memebrane_
its got cooldown,memebrane_
hows that ritvik?,memebrane_
there,memebrane_
Successfully saved!,Boop Quoter
2.66 seconds left,Boop Quoter
!save,memebrane_
!save,memebrane_
Ya that’s fine,ritvikisalive
so its gonna take a bit before sending the success msg,memebrane_
it takes a while before it finishes,memebrane_
due to the massive size of the history,memebrane_
ok so we have a slight issue,memebrane_
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
!save,memebrane_
Hahahaha,ritvikisalive
!save,memebrane_
!save,memebrane_
yea i misplaced the function,memebrane_
its allg,memebrane_
It’s spamming,ritvikisalive
Ahmed,ritvikisalive
Ummm,ritvikisalive
Successfully saved!,Boop Quoter
i made a mistake,memebrane_
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Ayy,ritvikisalive
uh oh,memebrane_
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
um...,memebrane_
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
Successfully saved!,Boop Quoter
!save,memebrane_
!save,memebrane_
Cause we aren’t gonna have the console open all the time,ritvikisalive
ok,memebrane_
I feel like chat would be good aswell,ritvikisalive
or do u want it in the chat?,memebrane_
now it should print a msg in the console saying saved,memebrane_
0.64 seconds left,Boop Quoter
!boop,ritvikisalive
DIE DIE DIE DIE - Nitanth,Boop Quoter
!boop,ritvikisalive
"GG <@390100716909363201>, you just advanced to level 5!",MEE6
yup,memebrane_
Maybe the save should print a message saying that it’s saved to the csv,ritvikisalive
!save,memebrane_
Tender loin muscle person anyways - Zoe,Boop Quoter
!boop,memebrane_
1.63 seconds left,Boop Quoter
!boop,memebrane_
Nitanth version,Boop Quoter
!boop,memebrane_
Cassie stop pressing buttons - Ritvik,Boop Quoter
!boop,memebrane_
K,ritvikisalive
K,ritvikisalive
ill comment stuff now,memebrane_
hop on call and will explain everything,memebrane_
hard to explain over text,memebrane_
How’s the save work anyways,ritvikisalive
hehe,memebrane_
We understand that,ritvikisalive
It’s fine,ritvikisalive
Noice,ritvikisalive
my brain is just on fire rn,memebrane_
kinda did all the work,memebrane_
sry...,memebrane_
ritvik i got save  working too,memebrane_
!save,memebrane_
!save,memebrane_
